SCATS Number,Location,Date,Lane Points
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,23
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,32
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,42
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,39
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,35
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,36
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,14
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,9
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,11
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,9
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-01 00:00:00,10
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,5
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,5
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,3
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,4
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,1
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,2
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,0
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,4
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,4
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,0
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,0
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,0
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,1
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,0
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,3
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,4
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,6
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,12
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,11
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,26
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,27
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,54
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,56
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,104
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,170
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,171
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,195
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,188
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,173
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,148
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,163
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,151
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,131
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,111
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,121
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,98
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,85
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,105
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,104
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,77
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,121
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,96
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,110
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,88
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,109
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,100
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,81
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,95
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,101
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,81
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,95
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,91
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,95
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,94
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,125
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,84
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,99
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,93
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,102
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,91
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,92
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,101
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,119
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,98
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,116
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,115
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,108
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,115
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,98
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,63
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,77
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,70
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,73
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,69
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,53
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,49
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,39
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,28
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,47
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,40
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,34
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,30
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,35
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,31
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,23
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,21
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,20
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,16
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,9
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-02 00:15:00,7
3127,BALWYN_RD N of CANTERBURY_RD,2006-10-03 00:30:00,7
