SCATS Number,Location,Date,Lane Points
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,37
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,42
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,31
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,25
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,28
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,20
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,29
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,12
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,15
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,16
4321,VALERIE_ST W OF HIGH_ST,2006-10-01 00:00:00,19
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,10
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,7
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,6
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,2
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,5
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,2
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,4
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,1
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,0
4321,VALERIE_ST W OF HIGH_ST,2006-10-02 00:15:00,6
