SCATS Number,Location,Date,Lane Points
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,102
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,109
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,114
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,91
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,96
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,126
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,122
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,106
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,101
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,81
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,72
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,72
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,59
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,33
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,45
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,28
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-01 00:00:00,29
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,28
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,21
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,33
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,16
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,13
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,11
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,12
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,9
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,9
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,5
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,13
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,14
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,23
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,29
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,39
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,61
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,90
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,96
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,139
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,170
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,205
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,177
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,151
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,183
